id	code	type	label	url
33	cawikiquote	wikiquote	Catalan Wikiquote	https://ca.wikiquote.org/
34	cdowiki	wikipedia	Min Dong Wikipedia	https://cdo.wikipedia.org/
35	cebwiki	wikipedia	Cebuano Wikipedia	https://ceb.wikipedia.org/
36	cewiki	wikipedia	Chechen Wikipedia	https://ce.wikipedia.org/
37	chrwiki	wikipedia	Cherokee Wikipedia	https://chr.wikipedia.org/
38	ckbwiki	wikipedia	Sorani Kurdish Wikipedia	https://ckb.wikipedia.org/
39	commonswiki	commons	Wikimedia Commons	https://commons.wikimedia.org/
40	cowiki	wikipedia	Corsican Wikipedia	https://co.wikipedia.org/
41	cswiki	wikipedia	Czech Wikipedia	https://cs.wikipedia.org/
42	cswikiquote	wikiquote	Czech Wikiquote	https://cs.wikiquote.org/
43	cvwiki	wikipedia	Chuvash Wikipedia	https://cv.wikipedia.org/
44	cywiki	wikipedia	Welsh Wikipedia	https://cy.wikipedia.org/
45	dawiki	wikipedia	Danish Wikipedia	https://da.wikipedia.org/
46	dewiki	wikipedia	German Wikipedia	https://de.wikipedia.org/
47	dewikiquote	wikiquote	German Wikiquote	https://de.wikiquote.org/
48	dvwiki	wikipedia	Maldivian Wikipedia	https://dv.wikipedia.org/
49	elwiki	wikipedia	Greek Wikipedia	https://el.wikipedia.org/
50	enwiki	wikipedia	English Wikipedia	https://en.wikipedia.org/
51	enwikiquote	wikiquote	English Wikiquote	https://en.wikiquote.org/
52	enwikisource	wikisource	English Wikisource	https://en.wikisource.org/
53	eowiki	wikipedia	Esperanto Wikipedia	https://eo.wikipedia.org/
54	eowikiquote	wikiquote	Esperanto Wikiquote	https://eo.wikiquote.org/
55	eswiki	wikipedia	Spanish Wikipedia	https://es.wikipedia.org/
56	eswikiquote	wikiquote	Spanish Wikiquote	https://es.wikiquote.org/
57	etwiki	wikipedia	Estonian Wikipedia	https://et.wikipedia.org/
58	euwiki	wikipedia	Basque Wikipedia	https://eu.wikipedia.org/
59	fawiki	wikipedia	Persian Wikipedia	https://fa.wikipedia.org/
60	fawikiquote	wikiquote	Persian Wikiquote	https://fa.wikiquote.org/
61	fiwiki	wikipedia	Finnish Wikipedia	https://fi.wikipedia.org/
62	fiwikiquote	wikiquote	Finnish Wikiquote	https://fi.wikiquote.org/
63	fowiki	wikipedia	Faroese Wikipedia	https://fo.wikipedia.org/
64	frrwiki	wikipedia	North Frisian Wikipedia	https://frr.wikipedia.org/
65	frwiki	wikipedia	French Wikipedia	https://fr.wikipedia.org/
66	frwikiquote	wikiquote	French Wikiquote	https://fr.wikiquote.org/
67	fywiki	wikipedia	West Frisian Wikipedia	https://fy.wikipedia.org/
68	ganwiki	wikipedia	Gan Chinese Wikipedia	https://gan.wikipedia.org/
69	gawiki	wikipedia	Irish Wikipedia	https://ga.wikipedia.org/
70	gdwiki	wikipedia	Scottish Gaelic Wikipedia	https://gd.wikipedia.org/
71	glwiki	wikipedia	Galician Wikipedia	https://gl.wikipedia.org/
72	guwiki	wikipedia	Gujarati Wikipedia	https://gu.wikipedia.org/
73	hakwiki	wikipedia	Hakka Wikipedia	https://hak.wikipedia.org/
74	hawwiki	wikipedia	Hawaiian Wikipedia	https://haw.wikipedia.org/
75	hewiki	wikipedia	Hebrew Wikipedia	https://he.wikipedia.org/
76	hewikiquote	wikiquote	Hebrew Wikiquote	https://he.wikiquote.org/
77	hifwiki	wikipedia	Fiji Hindi Wikipedia	https://hif.wikipedia.org/
78	hiwiki	wikipedia	Hindi Wikipedia	https://hi.wikipedia.org/
79	hrwiki	wikipedia	Croatian Wikipedia	https://hr.wikipedia.org/
80	hrwikiquote	wikiquote	Croatian Wikiquote	https://hr.wikiquote.org/
81	htwiki	wikipedia	Haitian Creole Wikipedia	https://ht.wikipedia.org/
82	huwiki	wikipedia	Hungarian Wikipedia	https://hu.wikipedia.org/
83	huwikiquote	wikiquote	Hungarian Wikiquote	https://hu.wikiquote.org/
84	hywiki	wikipedia	Armenian Wikipedia	https://hy.wikipedia.org/
85	iawiki	wikipedia	Interlingua Wikipedia	https://ia.wikipedia.org/
86	idwiki	wikipedia	Indonesian Wikipedia	https://id.wikipedia.org/
87	idwikiquote	wikiquote	Indonesian Wikiquote	https://id.wikiquote.org/
88	ilowiki	wikipedia	Ilokano Wikipedia	https://ilo.wikipedia.org/
89	iowiki	wikipedia	Ido Wikipedia	https://io.wikipedia.org/
90	iswiki	wikipedia	Icelandic Wikipedia	https://is.wikipedia.org/
91	itwiki	wikipedia	Italian Wikipedia	https://it.wikipedia.org/
92	itwikiquote	wikiquote	Italian Wikiquote	https://it.wikiquote.org/
93	itwikisource	wikisource	Italian Wikisource	https://it.wikisource.org/
94	iuwiki	wikipedia	Inuktitut Wikipedia	https://iu.wikipedia.org/
95	jamwiki	wikipedia	Jamaican Wikipedia	https://jam.wikipedia.org/
96	jawiki	wikipedia	Japanese Wikipedia	https://ja.wikipedia.org/
97	jvwiki	wikipedia	Javanese Wikipedia	https://jv.wikipedia.org/
98	kawiki	wikipedia	Georgian Wikipedia	https://ka.wikipedia.org/
99	kawikiquote	wikiquote	Georgian Wikiquote	https://ka.wikiquote.org/
100	kkwiki	wikipedia	Kazakh Wikipedia	https://kk.wikipedia.org/
101	knwiki	wikipedia	Kannada Wikipedia	https://kn.wikipedia.org/
102	kowiki	wikipedia	Korean Wikipedia	https://ko.wikipedia.org/
103	kowikiquote	wikiquote	Korean Wikiquote	https://ko.wikiquote.org/
104	kowikisource	wikisource	Korean Wikisource	https://ko.wikisource.org/
105	kshwiki	wikipedia	Ripuarian Wikipedia	https://ksh.wikipedia.org/
106	kuwiki	wikipedia	Kurdish Wikipedia	https://ckb.wikipedia.org/ https://ku.wikipedia.org/
107	kwwiki	wikipedia	Cornish Wikipedia	https://kw.wikipedia.org/
108	lawiki	wikipedia	Latin Wikipedia	https://la.wikipedia.org/
109	lbwiki	wikipedia	Luxembourgish Wikipedia	https://lb.wikipedia.org/
110	lijwiki	wikipedia	Ligurian Wikipedia	https://lij.wikipedia.org/
111	lmowiki	wikipedia	Lombard Wikipedia	https://lmo.wikipedia.org/
112	lnwiki	wikipedia	Lingala Wikipedia	https://ln.wikipedia.org/
113	ltwiki	wikipedia	Lithuanian Wikipedia	https://lt.wikipedia.org/
114	ltwikiquote	wikiquote	Lithuanian Wikiquote	https://lt.wikiquote.org/
115	lvwiki	wikipedia	Latvian Wikipedia	https://lv.wikipedia.org/
116	maiwiki	wikipedia	Maithili Wikipedia	https://mai.wikipedia.org/
117	mgwiki	wikipedia	Malagasy Wikipedia	https://mg.wikipedia.org/
118	miwiki	wikipedia	Māori Wikipedia	https://mi.wikipedia.org/
119	mkwiki	wikipedia	Macedonian Wikipedia	https://mk.wikipedia.org/
120	mlwiki	wikipedia	Malayalam Wikipedia	https://ml.wikipedia.org/
121	mnwiki	wikipedia	Mongolian Wikipedia	https://mn.wikipedia.org/
122	mrwiki	wikipedia	Marathi Wikipedia	https://mr.wikipedia.org/
123	mswiki	wikipedia	Malay Wikipedia	https://ms.wikipedia.org/
124	mywiki	wikipedia	Burmese Wikipedia	https://my.wikipedia.org/
125	mznwiki	wikipedia	Mazanderani Wikipedia	https://mzn.wikipedia.org/
126	nahwiki	wikipedia	Nahuatl Wikipedia	https://nah.wikipedia.org/
127	nawiki	wikipedia	Nauru Wikipedia	https://na.wikipedia.org/
128	ndswiki	wikipedia	Plattdüütsch Wikipedia	https://nds.wikipedia.org/
129	newiki	wikipedia	Nepali Wikipedia	https://ne.wikipedia.org/
130	newwiki	wikipedia	Nepal Bhasa Wikipedia	https://new.wikipedia.org/
131	nlwiki	wikipedia	Dutch Wikipedia	https://nl.wikipedia.org/
132	nlwikiquote	wikiquote	Dutch Wikiquote	https://nl.wikiquote.org/
133	nnwiki	wikipedia	Norwegian (Nynorsk) Wikipedia	https://nn.wikipedia.org/
134	nowiki	wikipedia	Norwegian Wikipedia	https://no.wikipedia.org/
135	nywiki	wikipedia	Chewa Wikipedia	https://ny.wikipedia.org/
136	ocwiki	wikipedia	Occitan Wikipedia	https://oc.wikipedia.org/
137	pamwiki	wikipedia	Kapampangan Wikipedia	https://pam.wikipedia.org/
138	papwiki	wikipedia	Papiamento Wikipedia	https://pap.wikipedia.org/
139	pawiki	wikipedia	Punjabi Wikipedia	https://pa.wikipedia.org/
140	plwiki	wikipedia	Polish Wikipedia	https://pl.wikipedia.org/
141	plwikiquote	wikiquote	Polish Wikiquote	https://pl.wikiquote.org/
142	pmswiki	wikipedia	Piedmontese Wikipedia	https://pms.wikipedia.org/
143	pnbwiki	wikipedia	Punjabi (Western) Wikipedia	https://pnb.wikipedia.org/
144	ptwiki	wikipedia	Portuguese Wikipedia	https://pt.wikipedia.org/
145	ptwikiquote	wikiquote	Portuguese Wikiquote	https://pt.wikiquote.org/
146	quwiki	wikipedia	Quechua Wikipedia	https://qu.wikipedia.org/
147	rowiki	wikipedia	Romanian Wikipedia	https://ro.wikipedia.org/
148	ruewiki	wikipedia	Rusyn Wikipedia	https://rue.wikipedia.org/
149	ruwiki	wikipedia	Russian Wikipedia	https://ru.wikipedia.org/
150	ruwikiquote	wikiquote	Russian Wikiquote	https://ru.wikiquote.org/
151	rwwiki	wikipedia	Kinyarwanda Wikipedia	https://rw.wikipedia.org/
152	sahwiki	wikipedia	Sakha Wikipedia	https://sah.wikipedia.org/
153	sawiki	wikipedia	Sanskrit Wikipedia	https://sa.wikipedia.org/
154	scnwiki	wikipedia	Sicilian Wikipedia	https://scn.wikipedia.org/
155	scowiki	wikipedia	Scots Wikipedia	https://sco.wikipedia.org/
156	scwiki	wikipedia	Sardinian Wikipedia	https://sc.wikipedia.org/
157	shwiki	wikipedia	Serbo-Croatian Wikipedia	https://sh.wikipedia.org/
158	simplewiki	wikipedia	Simple English Wikipedia	https://simple.wikipedia.org/
159	simplewikiquote	wikiquote	Simple English Wikiquote	https://simple.wikiquote.org/
160	siwiki	wikipedia	Sinhala Wikipedia	https://si.wikipedia.org/
161	skwiki	wikipedia	Slovak Wikipedia	https://sk.wikipedia.org/
162	skwikiquote	wikiquote	Slovak Wikiquote	https://sk.wikiquote.org/
163	slwiki	wikipedia	Slovene Wikipedia	https://sl.wikipedia.org/
164	slwikiquote	wikiquote	Slovenian Wikiquote	https://sl.wikiquote.org/
165	sowiki	wikipedia	Somali Wikipedia	https://so.wikipedia.org/
166	sqwiki	wikipedia	Albanian Wikipedia	https://sq.wikipedia.org/
167	sqwikiquote	wikiquote	Albanian Wikiquote	https://sq.wikiquote.org/
168	srnwiki	wikipedia	Sranan Wikipedia	https://srn.wikipedia.org/
169	srwiki	wikipedia	Serbian Wikipedia	https://sr.wikipedia.org/
170	srwikiquote	wikiquote	Serbian Wikiquote	https://sr.wikiquote.org/
171	svwiki	wikipedia	Swedish Wikipedia	https://sv.wikipedia.org/
172	swwiki	wikipedia	Swahili Wikipedia	https://sw.wikipedia.org/
173	tawiki	wikipedia	Tamil Wikipedia	https://ta.wikipedia.org/
174	tewiki	wikipedia	Telugu Wikipedia	https://te.wikipedia.org/
175	tgwiki	wikipedia	Tajik Wikipedia	https://tg.wikipedia.org/
176	thwiki	wikipedia	Thai Wikipedia	https://th.wikipedia.org/
177	thwikiquote	wikiquote	Thai Wikiquote	https://th.wikiquote.org/
178	tkwiki	wikipedia	Turkmen Wikipedia	https://tk.wikipedia.org/
179	tlwiki	wikipedia	Tagalog Wikipedia	https://tl.wikipedia.org/
180	trwiki	wikipedia	Turkish Wikipedia	https://tr.wikipedia.org/
181	trwikiquote	wikiquote	Turkish Wikiquote	https://tr.wikiquote.org/
182	ttwiki	wikipedia	Tatar Wikipedia	https://tt.wikipedia.org/
183	udmwiki	wikipedia	Udmurt Wikipedia	https://udm.wikipedia.org/
184	ugwiki	wikipedia	Uyghur Wikipedia	https://ug.wikipedia.org/
185	ukwiki	wikipedia	Ukrainian Wikipedia	https://uk.wikipedia.org/
186	ukwikiquote	wikiquote	Ukrainian Wikiquote	https://uk.wikiquote.org/
187	urwiki	wikipedia	Urdu Wikipedia	https://ur.wikipedia.org/
188	uzwiki	wikipedia	Uzbek Wikipedia	https://uz.wikipedia.org/
189	vepwiki	wikipedia	Veps Wikipedia	https://vep.wikipedia.org/
190	viwiki	wikipedia	Vietnamese Wikipedia	https://vi.wikipedia.org/
191	viwikiquote	wikiquote	Vietnamese Wikiquote	https://vi.wikiquote.org/
192	vowiki	wikipedia	Volapük Wikipedia	https://vo.wikipedia.org/
193	warwiki	wikipedia	Waray Wikipedia	https://war.wikipedia.org/
194	wuuwiki	wikipedia	Wu Chinese Wikipedia	https://wuu.wikipedia.org/
195	xmfwiki	wikipedia	Mingrelian Wikipedia	https://xmf.wikipedia.org/
196	yiwiki	wikipedia	Yiddish Wikipedia	https://yi.wikipedia.org/
197	yowiki	wikipedia	Yoruba Wikipedia	https://yo.wikipedia.org/
198	zhwiki	wikipedia	Chinese Wikipedia	https://zh.wikipedia.org/
199	zh_classicalwiki	wikipedia	Literary Chinese Wikipedia	https://zh-classical.wikipedia.org/
200	zh_min_nanwiki	wikipedia	Min Nan Wikipedia	https://zh-min-nan.wikipedia.org/
201	zh_yuewiki	wikipedia	Cantonese Wikipedia	https://zh-yue.wikipedia.org/
202	elwikiquote	wikiquote	Greek Wikiquote	https://el.wikiquote.org/
203	etwikiquote	wikiquote	Estonian Wikiquote	https://et.wikiquote.org/
204	glwikiquote	wikiquote	Galician Wikiquote	https://gl.wikiquote.org/
205	hywikiquote	wikiquote	Armenian Wikiquote	https://hy.wikiquote.org/
206	liwikiquote	wikiquote	Limburgish Wikiquote	https://li.wikiquote.org/
207	mrjwiki	wikipedia	Hill Mari Wikipedia	https://mrj.wikipedia.org/
208	svwikiquote	wikiquote	Swedish Wikiquote	https://sv.wikiquote.org/
209	zhwikiquote	wikiquote	Chinese Wikiquote	https://zh.wikiquote.org/
210	abwiki	wikipedia	Abkhaz Wikipedia	https://ab.wikipedia.org/
211	acewiki	wikipedia	Acehnese Wikipedia	https://ace.wikipedia.org/
212	arwikinews	wikinews	Arabic Wikinews	https://ar.wikinews.org/
213	arwikisource	wikisource	Arabic Wikisource	https://ar.wikisource.org/
214	aswiki	wikipedia	Assamese Wikipedia	https://as.wikipedia.org/
215	avwiki	wikipedia	Avar Wikipedia	https://av.wikipedia.org/
216	azwikisource	wikisource	Azerbaijani Wikisource	https://az.wikisource.org/
217	bjnwiki	wikipedia	Banjar Wikipedia	https://bjn.wikipedia.org/
218	bmwiki	wikipedia	Bambara Wikipedia	https://bm.wikipedia.org/
219	bowiki	wikipedia	Tibetan Wikipedia	https://bo.wikipedia.org/
220	cawikinews	wikinews	Catalan Wikinews	https://ca.wikinews.org/
221	cbk_zamwiki	wikipedia	Chavacano Wikipedia	https://cbk-zam.wikipedia.org/
222	chywiki	wikipedia	Cheyenne Wikipedia	https://chy.wikipedia.org/
223	crhwiki	wikipedia	Crimean Tatar Wikipedia	https://crh.wikipedia.org/
224	cswikinews	wikinews	Czech Wikinews	https://cs.wikinews.org/
225	cywikiquote	wikiquote	Welsh Wikiquote	https://cy.wikiquote.org/
226	dawikiquote	wikiquote	Danish Wikiquote	https://da.wikiquote.org/
227	dewikinews	wikinews	German Wikinews	https://de.wikinews.org/
228	diqwiki	wikipedia	Zazaki Wikipedia	https://diq.wikipedia.org/
229	dsbwiki	wikipedia	Lower Sorbian Wikipedia	https://dsb.wikipedia.org/
230	elwikinews	wikinews	Greek Wikinews	https://el.wikinews.org/
231	elwikisource	wikisource	Modern Greek Wikisource	https://el.wikisource.org/
232	emlwiki	wikipedia	Emiliano–Romagnolo Wikipedia	https://eml.wikipedia.org/
233	enwikinews	wikinews	English Wikinews	https://en.wikinews.org/
234	eowikinews	wikinews	Esperanto Wikinews	https://eo.wikinews.org/
235	eowikisource	wikisource	Esperanto Wikisource	https://eo.wikisource.org/
236	eswikinews	wikinews	Spanish Wikinews	https://es.wikinews.org/
237	eswikisource	wikisource	Spanish Wikisource	https://es.wikisource.org/
238	extwiki	wikipedia	Extremaduran Wikipedia	https://ext.wikipedia.org/
239	fawikinews	wikinews	Persian Wikinews	https://fa.wikinews.org/
240	fawikisource	wikisource	Persian Wikisource	https://fa.wikisource.org/
241	frwikinews	wikinews	French Wikinews	https://fr.wikinews.org/
242	frwikisource	wikisource	French Wikisource	https://fr.wikisource.org/
243	furwiki	wikipedia	Friulian Wikipedia	https://fur.wikipedia.org/
244	gnwiki	wikipedia	Guarani Wikipedia	https://gn.wikipedia.org/
245	gomwiki	wikipedia	Goan Konkani Wikipedia	https://gom.wikipedia.org/
246	gotwiki	wikipedia	Gothic Wikipedia	https://got.wikipedia.org/
247	gvwiki	wikipedia	Manx Wikipedia	https://gv.wikipedia.org/
248	hawiki	wikipedia	Hausa Wikipedia	https://ha.wikipedia.org/
249	hewikisource	wikisource	Hebrew Wikisource	https://he.wikisource.org/
250	hiwikiquote	wikiquote	Hindi Wikiquote	https://hi.wikiquote.org/
251	hsbwiki	wikipedia	Upper Sorbian Wikipedia	https://hsb.wikipedia.org/
252	iewiki	wikipedia	Interlingue Wikipedia	https://ie.wikipedia.org/
253	igwiki	wikipedia	Igbo Wikipedia	https://ig.wikipedia.org/
254	itwikinews	wikinews	Italian Wikinews	https://it.wikinews.org/
255	jawikisource	wikisource	Japanese Wikisource	https://ja.wikisource.org/
256	jbowiki	wikipedia	Lojban Wikipedia	https://jbo.wikipedia.org/
257	kaawiki	wikipedia	Karakalpak Wikipedia	https://kaa.wikipedia.org/
258	kabwiki	wikipedia	Kabyle Wikipedia	https://kab.wikipedia.org/
259	klwiki	wikipedia	Greenlandic Wikipedia	https://kl.wikipedia.org/
260	kmwiki	wikipedia	Khmer Wikipedia	https://km.wikipedia.org/
261	kowikinews	wikinews	Korean Wikinews	https://ko.wikinews.org/
262	kswiki	wikipedia	Kashmiri Wikipedia	https://ks.wikipedia.org/
263	kywiki	wikipedia	Kyrgyz Wikipedia	https://ky.wikipedia.org/
264	ladwiki	wikipedia	Judaeo-Spanish Wikipedia	https://lad.wikipedia.org/
265	liwiki	wikipedia	Limburgish Wikipedia	https://li.wikipedia.org/
266	lowiki	wikipedia	Lao Wikipedia	https://lo.wikipedia.org/
267	ltgwiki	wikipedia	Latgalian Wikipedia	https://ltg.wikipedia.org/
268	map_bmswiki	wikipedia	Banyumasan Wikipedia	https://map-bms.wikipedia.org/
269	mhrwiki	wikipedia	Meadow Mari Wikipedia	https://mhr.wikipedia.org/
270	mtwiki	wikipedia	Maltese Wikipedia	https://mt.wikipedia.org/
271	myvwiki	wikipedia	Erzyan Wikipedia	https://myv.wikipedia.org/
272	napwiki	wikipedia	Neapolitan Wikipedia	https://nap.wikipedia.org/
273	nds_nlwiki	wikipedia	Dutch Low Saxon Wikipedia	https://nds-nl.wikipedia.org/
274	nowikinews	wikinews	Norwegian Wikinews	https://no.wikinews.org/
275	nowikiquote	wikiquote	Norwegian (Bokmål) Wikiquote	https://no.wikiquote.org/
276	nrmwiki	wikipedia	Norman Wikipedia	https://nrm.wikipedia.org/
277	nsowiki	wikipedia	Northern Sotho Wikipedia	https://nso.wikipedia.org/
278	nvwiki	wikipedia	Navajo Wikipedia	https://nv.wikipedia.org/
279	orwiki	wikipedia	Odia Wikipedia	https://or.wikipedia.org/
280	oswiki	wikipedia	Ossetian Wikipedia	https://os.wikipedia.org/
281	pagwiki	wikipedia	Pangasinan Wikipedia	https://pag.wikipedia.org/
282	pdcwiki	wikipedia	Pennsylvania German Wikipedia	https://pdc.wikipedia.org/
283	pihwiki	wikipedia	Norfolk Wikipedia	https://pih.wikipedia.org/
284	plwikisource	wikisource	Polish Wikisource	https://pl.wikisource.org/
285	pswiki	wikipedia	Pashto Wikipedia	https://ps.wikipedia.org/
286	ptwikinews	wikinews	Portuguese Wikinews	https://pt.wikinews.org/
287	rmwiki	wikipedia	Romansh Wikipedia	https://rm.wikipedia.org/
288	roa_tarawiki	wikipedia	Tarantino Wikipedia	https://roa-tara.wikipedia.org/
289	ruwikinews	wikinews	Russian Wikinews	https://ru.wikinews.org/
290	sdwiki	wikipedia	Sindhi Wikipedia	https://sd.wikipedia.org/
291	sewiki	wikipedia	Northern Sami Wikipedia	https://se.wikipedia.org/
292	srwikinews	wikinews	Serbian Wikinews	https://sr.wikinews.org/
293	suwiki	wikipedia	Sundanese Wikipedia	https://su.wikipedia.org/
294	svwikinews	wikinews	Swedish Wikinews	https://sv.wikinews.org/
295	svwikisource	wikisource	Swedish Wikisource	https://sv.wikisource.org/
296	szlwiki	wikipedia	Silesian Wikipedia	https://szl.wikipedia.org/
297	tawikiquote	wikiquote	Tamil Wikiquote	https://ta.wikiquote.org/
298	tetwiki	wikipedia	Tetum Wikipedia	https://tet.wikipedia.org/
299	tpiwiki	wikipedia	Tok Pisin Wikipedia	https://tpi.wikipedia.org/
300	trwikinews	wikinews	Turkish Wikinews	https://tr.wikinews.org/
301	trwikisource	wikisource	Turkish Wikisource	https://tr.wikisource.org/
302	tywiki	wikipedia	Tahitian Wikipedia	https://ty.wikipedia.org/
303	ukwikinews	wikinews	Ukrainian Wikinews	https://uk.wikinews.org/
304	vecwiki	wikipedia	Venetian Wikipedia	https://vec.wikipedia.org/
305	viwikisource	wikisource	Vietnamese Wikisource	https://vi.wikisource.org/
306	vlswiki	wikipedia	West Flemish Wikipedia	https://vls.wikipedia.org/
307	wawiki	wikipedia	Walloon Wikipedia	https://wa.wikipedia.org/
308	zeawiki	wikipedia	Zeelandic Wikipedia	https://zea.wikipedia.org/
309	zhwikinews	wikinews	Chinese Wikinews	https://zh.wikinews.org/
310	zhwikisource	wikisource	Chinese Wikisource	https://zh.wikisource.org/
311	zuwiki	wikipedia	Zulu Wikipedia	https://zu.wikipedia.org/
312	minwiki	wikipedia	Minangkabau Wikipedia	https://min.wikipedia.org/
313	zawiki	wikipedia	Zhuang Wikipedia	https://za.wikipedia.org/
314	afwikiquote	wikiquote	Afrikaans Wikiquote	https://af.wikiquote.org/
315	cawikisource	wikisource	Catalan Wikisource	https://ca.wikisource.org/
316	dawikisource	wikisource	Danish Wikisource	https://da.wikisource.org/
317	dewikisource	wikisource	German Wikisource	https://de.wikisource.org/
318	fiwikisource	wikisource	Finnish Wikisource	https://fi.wikisource.org/
319	glkwiki	wikipedia	Gilaki Wikipedia	https://glk.wikipedia.org/
320	jawikiquote	wikiquote	Japanese Wikiquote	https://ja.wikiquote.org/
321	knwikiquote	wikiquote	Kannada Wikiquote	https://kn.wikiquote.org/
322	kuwikiquote	wikiquote	Kurdish Wikiquote	https://ku.wikiquote.org/
323	lezwiki	wikipedia	Lezgian Wikipedia	https://lez.wikipedia.org/
324	mlwikiquote	wikiquote	Malayalam Wikiquote	https://ml.wikiquote.org/
325	mrwikiquote	wikiquote	Marathi Wikiquote	https://mr.wikiquote.org/
326	olowiki	wikipedia	Livvi-Karelian Wikipedia	https://olo.wikipedia.org/
327	omwiki	wikipedia	Oromo Wikipedia	https://om.wikipedia.org/
328	ptwikisource	wikisource	Portuguese Wikisource	https://pt.wikisource.org/
329	rowikiquote	wikiquote	Romanian Wikiquote	https://ro.wikiquote.org/
330	ruwikisource	wikisource	Russian Wikisource	https://ru.wikisource.org/
331	smwiki	wikipedia	Samoan Wikipedia	https://sm.wikipedia.org/
332	stqwiki	wikipedia	Saterland Frisian Wikipedia	https://stq.wikipedia.org/
333	tewikiquote	wikiquote	Telugu Wikiquote	https://te.wikiquote.org/
334	viwikibooks	wikibooks	Vietnamese Wikibooks	https://vi.wikibooks.org/
335	frpwiki	wikipedia	Franco-Provençal Wikipedia	https://frp.wikipedia.org/
336	kgwiki	wikipedia	Kongo Wikipedia	https://kg.wikipedia.org/
337	mwlwiki	wikipedia	Mirandese Wikipedia	https://mwl.wikipedia.org/
338	idwikisource	wikisource	Indonesian Wikisource	https://id.wikisource.org/
339	kiwiki	wikipedia	Gikuyu Wikipedia	https://ki.wikipedia.org/
340	lrcwiki	wikipedia	Northern Luri Wikipedia	https://lrc.wikipedia.org/
341	bpywiki	wikipedia	Bishnupriya Manipuri Wikipedia	https://bpy.wikipedia.org/
342	cuwiki	wikipedia	Old Church Slavonic Wikipedia	https://cu.wikipedia.org/
343	euwikiquote	wikiquote	Basque Wikiquote	https://eu.wikiquote.org/
344	fiu_vrowiki	wikipedia	Voro Wikipedia	https://fiu-vro.wikipedia.org/
345	huwikinews	wikinews	Hungarian Wikinews	https://hu.wikinews.org/
346	chwiki	wikipedia	Chamorro Wikipedia	https://ch.wikipedia.org/
347	cswikisource	wikisource	Czech Wikisource	https://cs.wikisource.org/
348	gagwiki	wikipedia	Gagauz Wikipedia	https://gag.wikipedia.org/
349	krcwiki	wikipedia	Karachay-Balkar Wikipedia	https://krc.wikipedia.org/
350	pcdwiki	wikipedia	Picard Wikipedia	https://pcd.wikipedia.org/
351	roa_rupwiki	wikipedia	Aromanian Wikipedia	https://roa-rup.wikipedia.org/
352	rowikibooks	wikibooks	Romanian Wikibooks	https://ro.wikibooks.org/
353	tiwiki	wikipedia	Tigrinya Wikipedia	https://ti.wikipedia.org/
354	xalwiki	wikipedia	Kalmyk Wikipedia	https://xal.wikipedia.org/
